inj_tot_t,ev_time,ev_year,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_vel_kts,gust_kts,inj_tot_f,inj_tot_s,inj_tot_m,dec_latitude,dec_longitude,total_seats,num_eng,afm_hrs_last_insp,rwy_len,acft_year,power_units
2,1516,2012,2900,0,10,84,68,12,0,2,0,0,28.057777,-81.751945,2,1,87,5005,2006,80
2,1758,2015,4700,0,10,88,70,3,0,0,0,2,35.834167,-95.665832,2,1,30,3710,2007,80
1,2120,2021,0,0,10,84,34,10,17,0,0,0,38.555311,-121.29721,2,1,100,6081,2008,80
2,1915,2014,0,0,10,90,55,6,0,0,0,0,27.456388,-81.342498,2,1,5,5234,2009,80
1,1755,2021,0,0,10,48,21,9,0,0,0,0,46.082263,-108.48105,2,1,21,1005,2010,80
2,115,2014,0,0,10,81,73,3,0,0,0,0,26.244722,-80.106109,2,1,35,3502,2012,80
1,1600,2015,0,0,10,77,61,10,0,0,0,0,38.289722,-94.340278,1,1,30,3999,2015,80
2,2355,2018,6500,0,10,70,57,8,0,0,0,0,43.969722,-88.567779,2,1,78,1200,2016,80
1,2030,2020,0,7500,10,72,39,9,0,0,0,0,42.741664,-71.707496,2,1,10,1926,2019,80
2,2215,2015,1600,5000,10,57,52,3,0,0,0,0,47.490276,-122.764724,3,1,40,6000,1939,85
1,2019,2014,0,25000,10,73,61,8,0,1,0,0,43.7625,-70.677497,2,1,28,2973,1942,85
2,1700,2016,2000,0,10,66,57,4,0,0,0,0,29.739166,-98.45111,2,1,17,2890,1943,85
1,1611,2014,0,0,10,75,54,12,16,1,0,0,43.222778,-77.812225,2,1,4,1800,1946,85
2,1415,2014,0,0,10,81,64,5,0,0,0,2,43.052501,-83.805,2,1,8,2510,1946,85
2,2330,2014,0,0,10,73,54,7,0,0,0,0,31.960556,-90.981941,2,1,10,2600,1946,85
1,2340,2012,0,0,10,82,39,5,0,1,0,0,30.68361,-98.419441,2,1,16,2600,1946,85
2,1630,2018,0,0,7,77,43,5,0,0,0,0,43.414722,-116.69833,2,1,61,2892,1946,85
