First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Kevin,Unterstein,13,M,5,1,0,0,0,0,1,1,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
John,Crawley,44,M,5,5,3,3,0,3,2,11,0.2727272727272727,7,0.6363636363636364,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Joel,Tinney,55,M,5,1,0,0,0,0,1,2,0,1,0.5,0,0,0,11,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Jake,Richard,27,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Eric,Law,15,A,5,7,5,5,0,5,2,12,0.4166666666666667,9,0.75,0,0,0,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Connor,Buczek,33,M,5,7,3,2,1,4,3,27,0.1111111111111111,15,0.5555555555555556,11,0.09090909090909091,4,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Chris,Cloutier,45,A,5,7,7,7,0,7,0,17,0.4117647058823529,8,0.47058823529411764,1,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Callum,Robinson,10,D,5,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,3,1,2,0.3333333333333333,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Austin,Pifani,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,,0
Will,Manny,4,A,6,14,10,10,0,10,4,39,0.2564102564102564,28,0.717948717948718,3,0,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Tyler,Pfister,5,M,6,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Tom,Schreiber,26,M,6,16,12,12,0,12,4,29,0.41379310344827586,21,0.7241379310344828,3,0,2,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Scott,Ratliff,2,LSM,6,6,3,3,0,3,3,8,0.375,5,0.625,3,0,2,17,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Stephen,Kelly,24,FO,6,0,0,0,0,0,0,1,0,0,0,0,0,0,23,3,0,81,40,41,0.49382716049382713,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Ambler,13,M,6,9,4,4,0,4,5,19,0.21052631578947367,12,0.631578947368421,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brett,Craig,,,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Chase,Caruso,,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Hayden,La Vangie,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Farrell,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Will,Renz,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
