ev_time,ev_year,ev_country,light_cond,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_vel_kts,gust_kts,inj_tot_t,inj_tot_f,inj_tot_s,inj_tot_m,dec_latitude,dec_longitude,damage,acft_fire,acft_make,acft_model,total_seats,num_eng,afm_hrs_last_insp,second_pilot,rwy_len,acft_year,power_units,carb_fuel_injection,eng_type,eng_mfgr
1807,2011,USA,DAYL,25000,0,10,50,30,6,0,1,0,0,0,37.70111,-89.249168,SUBS,NONE,LANCAIR,LC41-550FG,4,1,241,N,,2004,310,FINJ,REC,Teledyne Continental Motors
1815,2019,USA,DAYL,25000,0,10,75,43,9,0,5,0,0,0,29.811666,-98.426109,SUBS,NONE,Beech,36,6,1,,N,3000,2004,,FINJ,REC,Continental Motors
1730,2022,USA,DAYL,25000,0,10,84,59,7,0,1,0,1,0,30.441864,-87.463868,SUBS,NONE,KUMHYR DAVID B,VANS RV-8A,2,1,,,2175,2004,,,,
2200,2013,USA,DAYL,25000,0,40,54,19,5,0,2,0,0,0,33.319057,-111.870407,SUBS,NONE,AVIAT AIRCRAFT INC,S 2C,2,1,18,Y,4870,2003,260,FINJ,REC,Lycoming
2200,2022,USA,DAYL,25000,0,10,77,39,5,0,45,0,0,0,39.902252,-84.219412,MINR,NONE,BOMBARDIER INC,CL-600-2B19,55,2,,Y,7285,2003,,,,
2020,2015,USA,DAYL,25000,0,10,73,37,17,22,1,0,0,0,43.113334,-89.533332,SUBS,NONE,LANCAIR COMPANY,LC 40 550FG,4,1,,N,4000,2002,310,FINJ,REC,CONT MOTOR
1550,2018,USA,DAYL,25000,0,45,52,30,5,0,7,0,0,0,33.307777,-111.655555,MINR,NONE,Pilatus,PC12,8,1,3272,N,10401,2002,1200,,TP,Pratt & Whitney Canada
1826,2022,USA,DAYL,25000,0,10,61,28,12,0,2,0,0,0,34.025668,-81.375437,SUBS,NONE,CIRRUS DESIGN CORP,SR22,4,1,12,N,,2002,,,,
1945,2015,USA,DAYL,25000,0,10,70,59,8,0,2,0,0,1,33.789722,-118.059165,SUBS,NONE,LET,L23 - NO SERIES,2,0,8,N,5900,2001,,,,
2200,2019,USA,DAYL,25000,0,10,50,34,7,0,2,0,0,0,40.7975,-74.415832,SUBS,NONE,Cessna,172,2,1,,N,3997,2001,160,FINJ,REC,Lycoming
1550,2018,USA,DAYL,25000,0,45,52,30,5,0,7,0,0,0,33.307777,-111.655555,SUBS,NONE,Cessna,172,4,1,,N,10401,1999,180,FINJ,REC,Lycoming
1825,2016,USA,DAYL,25000,0,10,70,23,,0,1,0,0,0,39.677223,-119.877777,SUBS,IFLT,OGG RICHARD A,OGG GLASAIR I,2,1,,N,9000,1996,,FINJ,REC,Lycoming
1930,2019,USA,DAYL,25000,0,10,79,48,4,0,1,0,0,0,31.654722,-106.303337,SUBS,GRD,Weatherly,620,1,1,,N,,1996,450,CARB,REC,Pratt & Whitney
2230,2018,USA,DAYL,25000,0,10,68,25,7,0,1,1,0,0,35.044445,-85.019996,DEST,NONE,STANLEY ERNIE SIGURD,KOLB MARK,2,,,N,4986,1995,95,FINJ,REC,Suzuki
200,2022,USA,NITE,25000,0,10,57,27,5,0,2,0,0,0,32.883344,-97.047607,SUBS,NONE,CESSNA,208B,12,1,,N,,1995,750,FINJ,TP,P&W
1215,2019,USA,DAYL,25000,0,10,72,63,9,0,1,0,0,0,33.663612,-101.820556,SUBS,NONE,Beech,36,6,1,,Y,11500,1994,300,FINJ,REC,Continental
1800,2020,USA,DAYL,25000,0,10,64,48,3,0,1,0,0,0,36.024094,-78.716475,SUBS,NONE,KOLB,FIRESTAR,2,1,,N,,1994,50,CARB,REC,Rotax
2041,2015,USA,DAYL,25000,0,10,81,48,9,14,147,0,1,0,33.636665,-84.42778,,NONE,AIRBUS INDUSTRIE,A320 212,,2,,Y,,1992,,,TF,CFM INTL.
2041,2015,USA,DAYL,25000,0,10,81,48,9,14,147,0,1,0,33.636665,-84.42778,,NONE,AIRBUS INDUSTRIE,A320 212,,2,,Y,,1992,,,TF,CFM INTL.
1816,2016,USA,DAYL,25000,30000,10,82,48,4,0,1,0,1,0,33.413333,-102.154167,DEST,NONE,AIR TRACTOR,AT-502,1,1,,N,,1990,1020,,TP,P&W Canada
1330,2014,USA,DAYL,25000,0,10,25,16,3,0,144,0,0,0,33.636943,-84.428054,SUBS,NONE,MCDONNELL DOUGLAS AIRCRAFT CO,MD 88,157,2,,Y,,1988,,,TF,P&W
1330,2014,USA,DAYL,25000,0,10,25,16,3,0,144,0,0,0,33.636943,-84.428054,SUBS,NONE,MCDONNELL DOUGLAS AIRCRAFT CO,MD 88,157,2,,Y,,1988,,,TF,P&W
200,2022,USA,NITE,25000,0,10,57,27,5,0,2,0,0,0,32.883344,-97.047607,SUBS,NONE,CESSNA,208B,12,1,,N,,1988,500,FINJ,REC,P&W
2244,2020,USA,DAYL,25000,0,10,73,45,6,0,2,0,0,2,32.815555,-97.543052,SUBS,NONE,Pitts,S2,2,1,1951,N,,1987,260,FINJ,REC,Lycoming
1350,2018,USA,DAYL,25000,0,10,59,50,8,0,1,0,1,0,47.993888,-97.072219,SUBS,NONE,Air Tractor,AT 400,1,1,,N,,1984,,,TP,Pratt & Whitney
2042,2020,USA,DAYL,25000,0,10,82,55,9,0,1,1,0,0,42.193054,-89.088607,DEST,GRD,Beech,200,8,2,0,N,8200,1984,850,,TP,Pratt & Whitney Canada
2042,2020,USA,DAYL,25000,0,10,82,55,9,0,1,1,0,0,42.193054,-89.088607,DEST,GRD,Beech,200,8,2,0,N,8200,1984,850,,TP,Pratt & Whitney Canada
50,2018,USA,NITE,25000,0,10,54,19,,0,1,0,0,1,29.723333,-98.694442,SUBS,NONE,MAULE,M 6,4,1,,N,5006,1983,235,FINJ,REC,Lycoming
1745,2018,USA,DAYL,25000,0,10,72,28,,0,3,0,0,0,34.208889,-117.40361,SUBS,NONE,HUGHES HELICOPTERS INC,369,5,1,,N,,1982,420,,TS,Rolls Royce
245,2022,USA,DAYL,25000,0,10,43,23,4,0,2,0,0,0,61.4135,-151.9883,SUBS,NONE,PIPER,PA-18-150,2,1,,N,,1981,180,CARB,REC,LYCOMING
1600,2012,USA,DAYL,25000,0,10,39,18,7,0,2,0,0,1,35.404167,-97.588607,SUBS,NONE,CESSNA,550,4,2,,Y,9802,1980,2500,,TF,P&W Canada
1600,2012,USA,DAYL,25000,0,10,39,18,7,0,2,0,0,1,35.404167,-97.588607,SUBS,NONE,CESSNA,550,4,2,,Y,9802,1980,2500,,TF,P&W Canada
2100,2014,USA,DAYL,25000,0,45,88,50,3,0,4,0,0,0,33.330455,-111.630836,SUBS,GRD,ROCKWELL,690B,4,2,24,N,10201,1978,715,,TP,Garrett
2100,2014,USA,DAYL,25000,0,45,88,50,3,0,4,0,0,0,33.330455,-111.630836,SUBS,GRD,ROCKWELL,690B,4,2,24,N,10201,1978,715,,TP,Garrett
1230,2015,USA,DAYL,25000,25000,10,63,57,3,0,2,0,1,0,45.000556,-69.2425,SUBS,NONE,BEECH,B19,4,1,,Y,1250,1978,150,CARB,REC,LYCOMING
2230,2022,USA,DAYL,25000,0,10,55,14,,0,2,0,0,2,35.549623,-84.343803,SUBS,NONE,CESSNA,152,2,1,24,N,,1978,,,,
2043,2016,USA,DAYL,25000,0,10,75,28,6,0,1,0,0,1,32.746387,-97.682502,SUBS,NONE,CESSNA,182,4,1,,N,2892,1977,230,CARB,REC,Continental Motor Company
2030,2017,USA,DAYL,25000,0,10,52,25,7,0,1,0,1,0,33.662776,-98.744445,SUBS,NONE,BELL-TRANSWORLD HELICOPTERS,47D1,3,1,,N,,1976,210,CARB,REC,FRANKLIN
1720,2021,USA,DAYL,25000,0,10,50,32,8,0,1,0,0,0,31.9383,-81.3034,SUBS,NONE,CESSNA,177RG,4,1,,N,,1976,200,FINJ,REC,Lycoming
1600,2015,USA,DAYL,25000,0,7,88,66,3,0,2,0,0,0,38.474998,-85.997222,SUBS,NONE,GRUMMAN AMERICAN AVN. CORP.,AA 5,4,1,,N,1200,1975,150,CARB,REC,LYCOMING
1636,2016,USA,DAYL,25000,0,10,81,61,3,0,2,0,0,1,40.873054,-81.942779,SUBS,NONE,PIPER,PA 28-140,4,1,5,N,,1975,150,CARB,REC,LYCOMING
1915,2019,USA,DAYL,25000,0,10,75,55,4,0,2,0,0,0,41.318611,-81.960556,SUBS,NONE,Beech,19,2,1,,Y,3152,1975,150,CARB,REC,Lycoming
1745,2020,USA,DAYL,25000,0,10,81,45,11,18,1,0,1,0,32.159721,-81.39833,SUBS,NONE,Grumman,AA5,4,1,,N,2700,1975,180,CARB,REC,Lycoming
1930,2014,USA,DAYL,25000,0,10,9,3,,0,1,0,0,0,64.512222,-165.445281,MINR,NONE,CESSNA,180J,4,1,,N,6001,1973,265,,REC,CONT MOTOR
1930,2015,USA,DAYL,25000,0,10,63,34,7,0,1,0,1,0,30.6175,-81.474166,SUBS,NONE,CESSNA,150,2,1,,N,5152,1973,100,CARB,REC,CONT MOTOR
1015,2017,USA,DAYL,25000,0,8,68,64,4,0,1,0,0,0,40.750556,-72.948333,SUBS,NONE,CESSNA,172,4,1,,N,,1973,,CARB,REC,LYCOMING
1800,2015,USA,DAYL,25000,0,20,93,41,5,0,1,0,0,0,34.259445,-118.413612,SUBS,NONE,CESSNA,177B,4,1,,N,4120,1972,180,CARB,REC,LYCOMING
2115,2015,USA,DAYL,25000,0,10,79,48,7,15,2,0,0,0,43.576667,-96.735557,SUBS,NONE,CESSNA,180H,4,1,,N,8000,1972,230,CARB,REC,Continental
2115,2014,USA,DAYL,25000,0,10,34,1,,0,2,0,0,0,35.200553,-90.053886,SUBS,NONE,ENSTROM,F 28A,2,1,,Y,,1971,205,FINJ,REC,Lycoming
100,2015,USA,NDRK,25000,0,9,45,41,,0,2,0,0,0,38.316944,-76.558609,SUBS,NONE,PIPER,PA 28,2,1,,Y,4150,1971,150,CARB,REC,LYCOMING
1430,2016,USA,DAYL,25000,0,10,72,46,5,0,1,0,0,0,34.833332,-92.25222,SUBS,NONE,MOONEY,M20,,1,,N,5002,1967,180,FINJ,REC,LYCOMING
2019,2014,USA,DAYL,25000,0,10,25,3,9,15,3,0,0,0,40.880279,-73.901947,SUBS,NONE,PIPER,PA-28-180,4,1,97,N,,1966,180,CARB,REC,LYCOMING
1403,2016,USA,DAYL,25000,0,10,84,72,4,0,3,0,1,2,32.727222,-97.68222,SUBS,NONE,CESSNA,182J,4,1,,N,2892,1966,235,CARB,REC,CONT MOTOR
2155,2018,USA,DAYL,25000,0,10,77,36,12,17,4,0,0,0,29.739166,-98.45111,SUBS,NONE,MOONEY,M20F,4,1,,Y,2890,1966,200,FINJ,REC,LYCOMING
2100,2014,USA,DAYL,25000,0,10,82,48,6,0,2,0,0,2,35.73611,-78.922775,SUBS,NONE,ALON,A2,2,1,7,N,1950,1965,90,CARB,REC,Continental
1305,2016,USA,DAYL,25000,0,10,48,41,4,0,1,0,0,0,41.921943,-72.457221,SUBS,NONE,CESSNA,205,6,1,,N,1800,1963,260,FINJ,REC,Continental
314,2018,USA,NITE,25000,0,10,99,39,9,0,2,0,0,0,33.42472,-112.373054,SUBS,NONE,PIPER,PA 30,4,2,,Y,8500,1963,160,FINJ,REC,LYCOMING
314,2018,USA,NITE,25000,0,10,99,39,9,0,2,0,0,0,33.42472,-112.373054,SUBS,NONE,PIPER,PA 30,4,2,,Y,8500,1963,160,FINJ,REC,LYCOMING
2040,2018,USA,DAYL,25000,0,10,57,36,5,0,1,0,0,0,35.214443,-80.947219,SUBS,NONE,Cessna,182,4,1,,N,8677,1961,230,CARB,REC,Continental
2000,2018,USA,DAYL,25000,0,10,19,18,4,0,2,0,0,0,58.373332,-134.051116,SUBS,NONE,CESSNA,172,4,1,,N,,1957,180,CARB,REC,FRANKLIN
2215,2015,USA,DAYL,25000,0,10,73,21,,0,2,0,0,0,34.113334,-117.68222,SUBS,NONE,CHAMPION,7EC,2,1,,Y,3863,1953,90,CARB,REC,Continental Motors
2100,2014,USA,DAYL,25000,0,10,70,3,5,0,1,0,0,0,39.499443,-118.748886,SUBS,NONE,AERONCA,7DC,2,1,2,N,5703,1948,85,CARB,REC,Continental Motors
1720,2013,USA,DAYL,25000,0,10,72,25,10,0,1,0,0,1,36.89611,-114.049446,SUBS,NONE,ERCOUPE,415-C,2,1,42.20000076,N,5121,1946,75,CARB,REC,Continental Motors
2123,2022,USA,DAYL,25000,0,10,79,61,11,0,1,0,1,0,33.661747,-118.011,SUBS,NONE,PIPER,J3C-65,2,1,,N,,1946,,,,
15,2008,USA,DUSK,25000,0,10,63,7,5,0,1,0,0,0,33.748332,-102.066947,SUBS,NONE,Piper,J3C-65,1,1,,N,3000,,150,FINJ,REC,Lycoming
30,2008,USA,DAYL,25000,0,5,55,0,,0,2,0,0,1,38.457221,-123.051666,SUBS,NONE,Steven Hardie,AIR CAM,,2,,,,,,,REC,Rotax
30,2008,USA,DAYL,25000,0,5,55,0,,0,2,0,0,1,38.457221,-123.051666,SUBS,NONE,Steven Hardie,AIR CAM,,2,,,,,,,REC,Rotax
2247,2008,USA,DAYL,25000,0,10,75,23,,0,3,0,0,0,36.306945,-115.988891,SUBS,NONE,Robinson,R44,4,1,,N,,,260,CARB,REC,Lycoming
57,2008,USA,DAYL,25000,0,10,72,48,6,0,4,0,0,1,29.634445,-95.278892,SUBS,NONE,Piper,PA-32-300,6,1,,N,,,310,FINJ,REC,Lycoming
