ev_year,ev_month,apt_dist,ev_country,light_cond,sky_cond_nonceil,wind_vel_kts,gust_kts,altimeter,vis_sm,wx_dew_pt,inj_tot_f,inj_tot_s,inj_tot_m,acft_make,wx_temp,acft_model,acft_category,homebuilt,total_seats,num_eng,afm_hrs_last_insp,second_pilot,damage,acft_fire,acft_expl,flt_plan_filed,eng_type,eng_mfgr,eng_model,power_units,carb_fuel_injection
2008,1,0,USA,DAYL,CLER,3,0,30.51000023,10,3,0,0,2,PIPER,30,PA-28-R200,AIR,N,4,1,,N,SUBS,NONE,NONE,NONE,REC,Lycoming,IO-360,,FINJ
2008,1,0,USA,DAYL,FEW,9,0,30.17000008,10,55,0,1,0,Robinson,73,R22 Beta,HELI,N,2,1,28,N,SUBS,NONE,NONE,NONE,REC,Lycoming,O-360,124,CARB
2008,1,0,USA,DAYL,CLER,11,24,30.37000084,9,5,0,0,0,Beech,37,A36,AIR,N,5,1,,N,SUBS,NONE,NONE,IFR,REC,Continental,IO-550,300,FINJ
2008,2,2,USA,DAYL,FEW,5,0,29.54999924,10,30,0,1,0,Bellanca,37,17-30A,AIR,N,4,1,,N,SUBS,NONE,NONE,NONE,REC,Continental,IO-520-K1B,300,FINJ
2008,2,0,USA,DAYL,OVCT,,0,29.80999947,10,19,0,0,0,PIPER,25,PA-32R-301T,AIR,N,6,1,,N,SUBS,NONE,NONE,IFR,REC,Lycoming,TIO-540-AH1A,300,FINJ
2008,2,0,USA,DAYL,,,0,0,2,32,6,0,0,RAYTHEON AIRCRAFT COMPANY,34,C90A,AIR,N,6,2,,Y,SUBS,NONE,NONE,IFR,TP,Pratt & Whitney Aircraft of Ca,PT6A-21,550,
2008,2,0,USA,DAYL,,,0,0,2,32,6,0,0,RAYTHEON AIRCRAFT COMPANY,34,C90A,AIR,N,6,2,,Y,SUBS,NONE,NONE,IFR,TP,Pratt & Whitney Aircraft of Ca,PT6A-21,550,
2008,2,0,USA,DAYL,,,10,0,10,0,1,0,0,KIDD CHRIS,50,HARMON ROC,AIR,Y,2,1,,N,DEST,NONE,NONE,NONE,REC,LYCOMING,IO-540,300,FINJ
2008,2,0,USA,NDRK,UNK,3,0,30.30999947,3,21,2,0,0,CESSNA,21,525,AIR,N,8,2,1649,N,DEST,GRD,GRD,IFR,TF,WILLIAMS,FJ 44 SERIES,1900,
2008,2,0,USA,NDRK,UNK,3,0,30.30999947,3,21,2,0,0,CESSNA,21,525,AIR,N,8,2,1649,N,DEST,GRD,GRD,IFR,TF,WILLIAMS,FJ 44 SERIES,1900,
2008,2,0,USA,DAYL,FEW,6,0,30.02000046,10,46,0,0,0,Smith,63,Zodiac 601XL,AIR,N,2,1,,N,SUBS,NONE,NONE,NONE,REC,General Motors,Corvair/T1123,100,CARB
2008,2,0,USA,DAYL,SCAT,4,0,30.29000092,10,43,0,0,0,CESSNA,45,152,AIR,N,2,1,50,N,SUBS,NONE,NONE,NONE,REC,Lycoming,O-235-L2C,110,CARB
2008,2,0,USA,DAYL,SCAT,14,19,30.29000092,10,39,3,0,0,Wooters,43,Lancair ES,AIR,Y,4,1,115,Y,SUBS,NONE,NONE,IFR,REC,Teledyne Continental,IO-550-N,310,FINJ
2008,1,0,USA,NITE,CLER,5,0,30.12000084,10,63,0,0,6,Boeing,72,B757-200,AIR,N,188,,,Y,MINR,,,IFR,TF,Rolls-Royce,RB211-53/5E4B,42500,
2008,1,0,USA,NITE,CLER,5,0,30.12000084,10,63,0,0,6,Boeing,72,B757-200,AIR,N,188,,,Y,MINR,,,IFR,TF,Rolls-Royce,RB211-53/5E4B,42500,
2008,1,0,USA,DUSK,CLER,,0,0,10,0,0,0,0,DeSousa,0,Jabiru J400,AIR,Y,4,1,,N,SUBS,NONE,NONE,NONE,REC,Jabiru,3300,120,CARB
2008,1,0,USA,NITE,CLER,,0,0,10,0,0,0,0,PIPER,0,PA-24-250,AIR,N,4,1,,N,SUBS,NONE,NONE,IFR,REC,Lycoming,IO-540-C1135,250,FINJ
2008,2,0,USA,DAYL,SCAT,12,0,0,6,0,0,0,5,MCDONNELL DOUGLAS,68,369E,HELI,N,5,1,66,N,SUBS,NONE,NONE,CVFR,TS,Rolls-Royce Allison,250-C20B,420,
2008,2,0,USA,DAYL,CLER,5,0,30.04000092,10,39,0,0,0,CESSNA,54,TR182,AIR,N,4,1,,Y,SUBS,IFLT,NONE,NONE,REC,Lycoming,O-540,250,CARB
2008,2,0,USA,DAYL,CLER,,0,30.21999931,10,48,0,0,1,Hughes,54,OH-6,HELI,N,4,1,,N,SUBS,NONE,NONE,NONE,TS,Rolls-Royce,250-C20B,420,
2008,2,1,USA,DAYL,CLER,6,0,30.30999947,10,46,0,1,0,PIPER,72,PA-28-235,AIR,N,4,1,4.400000095,N,SUBS,NONE,NONE,NONE,REC,Lycoming,O-540-B4B5,235,CARB
2008,1,0,USA,DAYL,CLER,6,0,30.28000069,10,36,0,0,0,CESSNA,52,150J,AIR,N,2,1,28,,SUBS,NONE,NONE,NONE,REC,Continental,O-200A,100,CARB
2008,1,0,USA,DAYL,,11,0,30.27000046,10,16,0,0,0,American Champion (ACAC),28,7AC,AIR,N,2,1,,N,SUBS,NONE,NONE,NONE,REC,Continental,A-65,65,CARB
2008,1,0,USA,DAYL,,,0,0,,0,0,0,0,Avid Aircraft,0,MK-IV,AIR,N,,1,,,SUBS,NONE,,NONE,REC,Rotax,582,,
2008,1,18,USA,DAYL,SCAT,9,0,29.79999924,1.5,25,0,0,1,Robinson,28,R44 II,HELI,N,4,1,,N,SUBS,NONE,NONE,VFR,REC,Lycoming,IO-540,245,FINJ
2008,1,0,USA,DUSK,CLER,,0,30.11000061,10,55,0,0,0,CESSNA,64,150G,AIR,N,2,1,4.599999905,,SUBS,NONE,NONE,NONE,REC,Continental,O-200-A,100,CARB
2008,1,0,USA,DAYL,,10,0,29.95000076,10,63,0,0,0,CESSNA,79,C-152,AIR,N,2,1,,N,SUBS,NONE,NONE,NONE,REC,Lycoming,O-235,,CARB
2008,2,0,USA,NITE,,13,21,29.81999969,,68,1,0,0,CESSNA,72,210,AIR,N,6,1,60,N,DEST,NONE,NONE,NONE,REC,Continental,IO-520,,FINJ
2008,2,0,USA,DAYL,,8,0,29.97999954,10,36,4,0,0,CESSNA,61,340A,AIR,N,6,2,,N,DEST,NONE,NONE,NONE,REC,Teledyne Continental,TSIO-520 SER,300,FINJ
2008,2,0,USA,DAYL,,8,0,29.97999954,10,36,4,0,0,CESSNA,61,340A,AIR,N,6,2,,N,DEST,NONE,NONE,NONE,REC,Teledyne Continental,TSIO-520 SER,300,FINJ
2008,2,0,USA,NDRK,CLER,5,0,30.04000092,10,45,0,0,3,PIPER,57,PA-44-180,AIR,N,4,2,84,Y,SUBS,NONE,NONE,NONE,REC,Lycoming,O-360-E1A6D,180,CARB
2008,2,0,USA,NDRK,CLER,5,0,30.04000092,10,45,0,0,3,PIPER,57,PA-44-180,AIR,N,4,2,84,Y,SUBS,NONE,NONE,NONE,REC,Lycoming,LO-360-E1A6D,180,CARB
2008,2,0,USA,NITE,CLER,,0,30.12000084,10,43,0,0,0,CESSNA,52,172SP,AIR,N,4,1,,Y,SUBS,NONE,NONE,NONE,REC,Lycoming,IO-360-L2A,180,FINJ
2008,1,0,USA,DAYL,CLER,8,0,30.09000015,10,43,0,0,0,Bellanca,52,7GCBC,AIR,N,2,1,7,,SUBS,NONE,NONE,NONE,REC,Lycoming,O-320,150,CARB
2008,1,0,USA,DAYL,CLER,,0,0,10,0,0,0,1,Waltermire,0,Glastar,AIR,Y,,1,,,SUBS,GRD,NONE,NONE,REC,Lycoming,O-320-B1A,160,
2008,2,0,USA,DAYL,FEW,12,0,29.63999939,10,7,0,1,1,de Havilland,18,DHC-8-202,AIR,N,40,2,,Y,,NONE,NONE,IFR,TP,Pratt & Whitney Canada,PW123D,2000,
2008,2,0,USA,DAYL,CLER,14,0,29.87000084,10,28,1,0,0,PIPER,54,PA-23-250,AIR,N,2,2,73,N,DEST,GRD,NONE,IFR,REC,Lycoming,IO-540-C4B5,250,FINJ
2008,2,1,USA,NITE,OVCT,10,0,29.62999916,6,32,2,0,0,CESSNA,34,414A,AIR,N,8,2,,N,DEST,GRD,NONE,NONE,REC,Teledyne Continental,TSIO-520-K,335,FINJ
2008,1,0,USA,DUSK,,,0,0,,0,0,0,0,PIPER,0,PA-32-301XTC,AIR,N,,1,,,SUBS,NONE,,NONE,REC,Lycoming,TIO-540-AH1A,,
2008,1,0,USA,DAYL,CLER,6,0,30.21999931,10,10,0,0,0,Beech,19,58,AIR,N,2,2,,N,SUBS,NONE,NONE,NONE,REC,Continental,IO-520-CB7B,285,FINJ
2008,2,0,USA,DAYL,FEW,9,0,30.03000069,10,19,0,0,0,Beech,43,A45,AIR,N,2,1,,N,SUBS,NONE,NONE,NONE,REC,Continental,IO-520,285,FINJ
2008,2,11,USA,DAYL,SCAT,,0,30.36000061,10,36,2,0,0,Munson,46,RV-6A,AIR,Y,2,1,,N,SUBS,NONE,NONE,NONE,REC,Aero Sport Power Ltd,O-320-D1A,160,CARB
2008,2,1,USA,DAYL,CLER,,0,30.11000061,10,34,1,0,0,Wilson,48,RV-7,AIR,Y,2,1,29.10000038,N,SUBS,NONE,NONE,NONE,REC,Xtreem 360,IO-360-B1AA4,180,FINJ
2008,2,30,USA,NITE,FEW,10,21,30.01000023,10,-2,0,0,0,Hawker Beechcraft Corp.,7,99,AIR,N,,2,,N,MINR,IFLT,NONE,IFR,TP,Pratt & Whitney Canada,PT6A-20,550,
2008,2,30,USA,NITE,FEW,10,21,30.01000023,10,-2,0,0,0,Hawker Beechcraft Corp.,7,99,AIR,N,,2,,N,MINR,IFLT,NONE,IFR,TP,Pratt & Whitney Canada,PT6A-20,550,
2008,2,0,USA,NDRK,SCAT,8,0,29.79999924,8,70,3,0,0,Eurocopter France,73,AS350B2,HELI,N,4,1,9,N,SUBS,NONE,NONE,CVFR,TS,Turbomeca,Arriel 1D1,732,
2008,2,0,USA,DAYL,,3,0,30.35000038,0.25,34,1,0,0,LANCAIR,34,LC41,AIR,N,4,1,86,N,DEST,GRD,NONE,IFR,REC,Teledyne Continental,TSIO-550 C9,310,FINJ
2008,2,26,USA,DAYL,CLER,3,0,30.12000084,10,61,0,0,0,"Bombardier, Inc.",72,CL-600,AIR,N,54,2,3,Y,,NONE,NONE,IFR,TF,General Electric,CF34-3B1,9244,
2008,2,26,USA,DAYL,CLER,3,0,30.12000084,10,61,0,0,0,"Bombardier, Inc.",72,CL-600,AIR,N,54,2,3,Y,,NONE,NONE,IFR,TF,General Electric,CF34-3B1,9244,
2008,1,0,USA,DAYL,CLER,15,21,29.77000046,10,54,0,0,1,McGuire,59,RAF2000,GYRO,Y,,1,,,SUBS,NONE,NONE,NONE,REC,Subaru,Subaru,,
2008,2,0,USA,NITE,,,0,0,,0,0,0,0,CESSNA,0,425,AIR,N,7,2,,N,SUBS,NONE,NONE,IFR,TP,Pratt & Whitney,PT6A-112,,
2008,2,0,USA,DAYL,,6,0,29.62000084,1.5,25,1,0,0,CESSNA,27,140,AIR,N,2,1,2.599999905,N,SUBS,NONE,NONE,NONE,REC,Teledyne Continental Motor,C90-12F,90,CARB
2008,1,0,USA,DAYL,,,0,0,10,0,0,0,0,Luscombe,0,8E,AIR,N,,1,,,SUBS,NONE,NONE,NONE,REC,Continental,C85,,
2008,2,0,USA,DAYL,FEW,5,0,29.92000008,10,34,0,0,0,CESSNA,43,140,AIR,N,2,1,,Y,SUBS,NONE,NONE,NONE,REC,Continental,C-85,85,
2008,2,0,USA,NITE,CLER,5,0,29.97999954,10,32,0,0,0,Robinson,48,R44 II,HELI,N,4,1,56,N,SUBS,NONE,NONE,NONE,REC,Lycoming,IO-540-AE1A5,300,FINJ
2008,1,4,USA,NITE,CLER,3,0,0,25,0,0,0,0,Bell,61,OH-58A,HELI,N,,1,,N,SUBS,NONE,,NONE,TS,Allison,T63,,
2008,2,0,IC,DAYL,,,0,0,,0,1,0,0,CESSNA,0,310N,AIR,N,6,2,,N,SUBS,NONE,NONE,IFR,REC,Continental,IO-470-VO,260,FINJ
2008,2,0,IC,DAYL,,,0,0,,0,1,0,0,CESSNA,0,310N,AIR,N,6,2,,N,SUBS,NONE,NONE,IFR,REC,Continental,IO-470-VO,260,FINJ
2008,2,0,IC,DAYL,,,0,0,,0,1,0,0,PIPER AIRCRAFT INC,0,PA-28-161,AIR,N,1,1,,N,SUBS,NONE,NONE,UNK,REC,LYCOMING,O-320-D3G,160,CARB
2008,2,0,USA,DUSK,FEW,5,0,30.14999962,10,7,0,0,0,PIPER,63,J3C-65,AIR,N,1,1,,N,SUBS,NONE,NONE,NONE,REC,Lycoming,IO-320,150,FINJ
2008,2,5,USA,DAYL,,9,0,30.13999939,10,28,0,0,0,McDonnell Douglas,61,MD-88,AIR,N,149,2,,Y,MINR,NONE,NONE,IFR,TF,Pratt & Whitney,JT8D-219,21000,
2008,2,0,USA,DAYL,CLER,8,0,29.70999908,10,39,0,0,0,CESSNA,73,172S,AIR,N,4,1,18,N,SUBS,NONE,NONE,NONE,REC,Lycoming,IO-360-L2A,180,FINJ
2008,2,0,USA,DAYL,,9,0,29.96999931,0.5,32,0,2,3,Raytheon Aircraft Company,32,1900D,AIR,N,21,2,97,Y,SUBS,NONE,NONE,IFR,TP,Pratt & Whitney,PT6-67D,1279,
2008,2,0,USA,DAYL,,9,0,29.96999931,0.5,32,0,2,3,Raytheon Aircraft Company,32,1900D,AIR,N,21,2,97,Y,SUBS,NONE,NONE,IFR,TP,Pratt & Whitney,PT6-67D,1279,
2008,2,0,USA,NITE,CLER,,0,30.04999924,10,41,0,0,0,CESSNA,59,P210N,AIR,N,6,1,45,N,SUBS,NONE,NONE,NONE,REC,Continental,TSIO-520-15B,300,FINJ
2008,2,0,USA,DAYL,CLER,13,20,30.04000092,10,0,0,0,1,CESSNA,0,210,AIR,N,4,1,,N,SUBS,NONE,NONE,NONE,REC,CONT MOTOR,IO-470E,260,FINJ
2008,1,0,USA,DAYL,CLER,,0,0,30,0,0,0,1,CESSNA,30,172N,AIR,N,,1,,,SUBS,NONE,,NONE,REC,Lycoming,O-360-A4M,,
2008,2,1,USA,DAYL,FEW,14,21,30.12999916,10,36,0,3,0,Bartle,77,Lancair IV-P,AIR,Y,4,1,52,N,SUBS,NONE,,NONE,REC,Experimental TCM,TSIO-500-EXP,400,FINJ
